Código da Turma,Código da Disciplina,Nome da Disciplina,Tipo da Turma,Sala,Horários,Professor(es)
2026192,MAC5760,Introdução aos Sistemas de Bancos de Dados,Pós Graduação,Sem Sala,"ter 10:00 12:00
qui 08:00 10:00",Kelly R. Braghetto
2026162,MAC5764,Tópicos em Engenharia de Software,Pós Graduação,Sem Sala,qua 14:00 17:40,Paulo R. M. Meirelles
2026172,MAC5768,Visão e Processamento de Imagens,Pós Graduação,Sem Sala,"seg 16:00 18:00
qua 14:00 16:00",Ronaldo F. Hashimoto
2026181,MAC5770,Introdução à Teoria dos Grafos,Pós Graduação,Sem Sala,"ter 14:00 16:00
qui 16:00 18:00",Fábio H. Botler
2026178,MAC5832,Introdução ao Aprendizado de Máquina,Pós Graduação,Sem Sala,"seg 10:00 12:00
qua 08:00 10:00",Nina S. T. Hirata
2026164,MAC5856,Desenvolvimento de Software Livre,Pós Graduação,Sem Sala,qua 14:00 17:40,Paulo R. M. Meirelles
2026122,MAC6931,Estudos Avançados em Sistemas de Software,Pós Graduação,Sem Sala,sex 14:00 17:40,Pedro H. D. Valle
2026121,MAC6940,"Estudos Avançados em Planejamento, Modelagem e Raciocínio sob Incerteza I",Pós Graduação,Sem Sala,qua 14:00 16:00,Leliane N. Barros
2026123,MAC6958,Tópicos Avançados em Ciência de Dados para Redes de Computadores,Pós Graduação,Sem Sala,"seg 10:00 12:00
qua 08:00 10:00",Daniel M. Batista
2026124,MAC6958,Tópicos Avançados em Ciência de Dados para Redes de Computadores,Pós Graduação,Sem Sala,"seg 10:00 12:00
qua 08:00 10:00",Roberto H. Junior
2026146,MAE0111,Análise Exploratória de Dados,Graduação,Sem Sala,"seg 14:00 15:40
qua 14:00 15:40",Victor Fossaluza
2026103,MAE0116,Noções de Estatística,Graduação,Sem Sala,qua 19:20 23:00,"Julia M. P. Soler
Silvia N. Elian
Florencia G. Leonardi
Nikolai V. Kolev
Viviana Giampaoli
Francisco F. Queiroz"
2026104,MAE0116,Noções de Estatística,Graduação,Sem Sala,qua 14:00 17:40,"Florencia G. Leonardi
Nikolai V. Kolev
Julia M. P. Soler
Silvia N. Elian
Francisco F. Queiroz
Viviana Giampaoli"
2026107,MAE0116,Noções de Estatística,Graduação,Sem Sala,qua 14:00 17:40,"Julia M. P. Soler
Silvia N. Elian
Viviana Giampaoli
Francisco F. Queiroz
Florencia G. Leonardi
Nikolai V. Kolev"
2026111,MAE0116,Noções de Estatística,Graduação,Sem Sala,qui 14:00 17:40,Pablo A. Gomes
2026113,MAE0116,Noções de Estatística,Graduação,Sem Sala,qui 19:20 23:00,Lucia P. Barroso
2026120,MAE0116,Noções de Estatística,Graduação,Sem Sala,qua 19:20 23:00,"Florencia G. Leonardi
Nikolai V. Kolev
Francisco F. Queiroz
Julia M. P. Soler
Silvia N. Elian
Viviana Giampaoli"
2026150,MAE0116,Noções de Estatística,Graduação,Sem Sala,ter 08:00 12:00,Miguel N. Abadi
2026154,MAE0121,Introdução a Probabilidade e a Estatística I,Graduação,Sem Sala,"seg 21:10 22:50
qua 19:20 21:00",Marcos N. Magalhaes
