Código da Turma,Código da Disciplina,Nome da Disciplina,Tipo da Turma,Sala,Horários,Professor(es)
2026145,MAT2453,Cálculo Diferencial e Integral I,Graduação,Sem Sala,"seg 10:00 11:40
qua 08:00 09:40
sex 10:00 11:40",Eloi M. Galego
2026146,MAT2453,Cálculo Diferencial e Integral I,Graduação,Sem Sala,"seg 10:00 11:40
qua 08:00 09:40
sex 10:00 11:40",Lucia S. I. Murakami
2026154,MAT2453,Cálculo Diferencial e Integral I,Graduação,Sem Sala,"seg 19:20 21:00
ter 19:20 21:00
qui 21:10 22:50",José L. V. Rodríguez
2026146,MAT2465,"Sequências, Séries e Equações Diferenciais",Graduação,Sem Sala,"seg 10:00 11:40
qua 08:00 09:40
sex 10:00 11:40",Zara I. Abud
2026154,MAT3120,Cálculo Diferencial e Integral III,Graduação,Sem Sala,"seg 21:10 22:50
qua 19:20 21:10",Lucas C. C. Souza
20261104,MAT4302,Tópicos de Álgebra Linear,Pós Graduação,Sem Sala,"seg 15:00 17:00
ter 15:00 17:00
qua 15:00 17:00
qui 15:00 17:00",Cristian A. O. Gonzalez
20261112,MAT5711,Cálculo Avançado,Pós Graduação,Sem Sala,"ter 16:00 18:00
qui 16:00 18:00",Marcos M. A. Silva
2026162,MAT5716,Introdução às Equações Diferenciais Parciais,Pós Graduação,Sem Sala,"qua 14:00 16:00
sex 14:00 16:00",Daniel R. Marroquin
20261104,MAT5719,Cálculo Diferencial Geométrico no RN,Pós Graduação,Sem Sala,"seg 10:00 12:00
ter 10:00 12:00
qua 10:00 12:00
qui 10:00 12:00",Cristian A. O. Gonzalez
20261112,MAT5721,Introdução à Análise Funcional,Pós Graduação,Sem Sala,"ter 14:00 16:00
qui 14:00 16:00",Leonardo P. Rodrigues
20261101,MAT5737,Introdução à Álgebra Comutativa,Pós Graduação,Sem Sala,"ter 09:00 11:00
qua 09:00 11:00
qui 09:00 11:00
sex 09:00 11:00",Kostiantyn Iusenko
2026195,MAT5741,Topologia Geral,Pós Graduação,Sem Sala,"seg 10:00 12:00
qua 08:00 10:00",Lucia R. Junqueira
2026185,MAT5771,Geometria Riemanniana,Pós Graduação,Sem Sala,"ter 14:00 16:00
qui 14:00 16:00",Marcelo S. Atallah
20261122,MAT5797,Introdução à Álgebra Homológica,Pós Graduação,Sem Sala,"ter 14:00 16:00
sex 14:00 16:00",Kostiantyn Iusenko
20261123,MAT5798,Medida e Integração,Pós Graduação,Sem Sala,"seg 08:00 10:00
qua 10:00 12:00",Iuliia Petrova
2026151,MAT5805,Tópicos em Teoria de Grupos,Pós Graduação,Sem Sala,"ter 16:00 18:00
sex 16:00 18:00",Claude M. E. M. Marion
2026141,MAT6003,Introdução às Super-Álgebras,Pós Graduação,Sem Sala,"qua 16:00 18:00
qui 16:00 18:00",Ivan Chestakov
2026122,MAT6202,Introdução à Teoria dos Conjuntos,Pós Graduação,Sem Sala,"seg 14:00 16:00
qua 16:00 18:00",Vinicius O. Rodrigues
2026121,MAT6428,Espaços Simétricos,Pós Graduação,Sem Sala,"seg 08:00 10:00
qua 10:00 12:00",Claudio Gorodski
2026142,MAT6601,Introdução à Lógica Matemática,Pós Graduação,Sem Sala,"seg 16:00 18:00
qua 14:00 16:00","Francisco M. Neto
Hugo L. Mariano"
2026134,MAT6603,Introdução à Teoria das Categorias,Pós Graduação,Sem Sala,"ter 16:00 18:00
qui 16:00 18:00",Hugo L. Mariano
2026121,MAT6622,Introdução aos Grupoides de Lie e Geometria de Poisson,Pós Graduação,Sem Sala,"ter 10:00 12:00
qui 10:00 12:00",Ivan Struchiner
2026132,MAT6643,Teoria de Galois,Pós Graduação,Sem Sala,"seg 08:00 10:00
qua 10:00 12:00",Lucia S. I. Murakami
2026123,MAT6681,Representações de Grupos,Pós Graduação,Sem Sala,"ter 10:00 12:00
sex 08:00 10:00",Lucia S. I. Murakami
2026132,MAT6683,Sistemas Dinâmicos,Pós Graduação,Sem Sala,"ter 10:00 12:00
sex 08:00 10:00",Yuri G. Lima
2026121,MAT6702,Tópicos de Geometria Lorentziana,Pós Graduação,Sem Sala,"ter 08:00 10:00
qui 08:00 10:00",Paolo Piccione
2026135,MPM5602,Estatística I,Pós Graduação,Sem Sala,"ter 15:00 16:45
qui 15:00 16:45",Viviana Giampaoli
2026136,MPM5606,Tópicos de História da Matemática,Pós Graduação,Sem Sala,ter 17:00 18:45,Eduardo N. Marcos
2026143,MPM5607,Matemática nos Currículos da Educação Básica,Pós Graduação,Sem Sala,"ter 15:00 16:45
qui 15:00 16:45",Barbara C. Valério
2026135,MPM5608,Análise Real com Aplicações,Pós Graduação,Sem Sala,"ter 19:20 21:05
qui 19:20 21:05",Daniela M. S. Vieira
2026145,MPM5609,Projetos em Ensino de Matemática,Pós Graduação,Sem Sala,"ter 19:20 21:05
qui 19:20 21:05",Vera H. G. Souza
2026135,MPM5610,Tendências da Educação Matemática,Pós Graduação,Sem Sala,ter 17:00 18:45,David P. Dias
